strategy,retrieval_score_pct,faithfulness_yes,faithfulness_no,faithfulness_partial,faithfulness_unknown,avg_retrieval_time_s,avg_generation_time_s,avg_total_latency_s,avg_response_words
Semantic Retrieval,72,5,3,1,1,2.061,57.91,59.971,368
Hybrid Retrieval,62,6,4,0,0,2.592,63.775,66.367,364
Hybrid Retrieval - Fixed allocation (1 policy + 2 faq + 2 ticket),60,5,4,1,0,2.627,58.113,60.739,312
Hybrid Retrieval + metadata filtering (category),45,2,5,1,2,1.9,43.574,45.474,253
Hybrid Retrieval + metadata filtering (category + product),57,5,1,0,4,2.65,66.607,69.257,338
Hybrid Retrieval top8 + boost strategy,91,3,5,0,2,2.063,45.458,47.521,385
Hybrid Retrieval top8 + RRF,83,2,5,2,1,2.396,49.281,51.676,333
Hybrid Retrieval top8 + RRF + improved filtering before,85,3,5,0,2,2.621,39.267,41.888,339
Hybrid Retrieval top8 + RRF + improved filtering after,85,4,4,1,1,2.064,47.601,49.665,422
Hybrid Retrieval top8 + boost strategy + filtering,91,7,2,1,0,2.098,55.282,57.379,397
Hybrid Retrieval top8 + boost strategy + filtering + kw + prod boost,88,4,6,0,0,1.894,56.313,58.207,410
Hybrid Retrieval top5 + boost strategy + filtering + kw + prod boost,82,6,2,1,1,2.444,67.818,70.262,325
